"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
id,identificacao,,text,"ID do paciente",,,integer,1,,,,y,,,,,
data_nascimento,identificacao,,text,"Data de nascimento",,,date_dmy,,,,,y,,,,,
idade,identificacao,,calc,Idade,"rounddown(datediff([data_nascimento],[data_registo],""y"",""dmy"",true),0)",,,,,,,,,,,,
sexo,identificacao,,radio,Sexo,"1, Feminino | 2, Masculino",,,,,,,y,,,,,
diagnostico,identificacao,,radio,"Tem asma moderada persistente? (asma com sintomas frequentes, necessidade de terapêutica controladora regular e impacto no controlo clínico)","1, Sim | 0, Não",,,,,,,y,,,,,
usf_centro,identificacao,,text,"Unidade de Saúde Familiar",,,,,,,,,,,,,
grupo_estudo,randomizacao,,radio,"Grupo para qual foi alocado","1, Intervenção | 2, Controlo",,,,,,,y,,,,,
momento_avaliacao,acompanhamento,,radio,"Momento de avaliação","1, inicio | 2, 4 semanas | 3, 8 semanas | 4, 12 semanas",,,,,,,y,,,,,
data_registo,acompanhamento,,text,"Data de avaliação",,,date_dmy,,,,,,,,,,
taxa_adesao_inicial,inicio,,text,"Taxa de adesão à medicação (responda de 0 a 10 o quanto se adaptou à medicação inalatória prescrita, sendo 10 muito bem adaptado)",,,integer,0,10,,"[momento_avaliacao] = 1",,,,,,
act_1,inicio,,text,ACT,,,integer,5,25,,"[momento_avaliacao] = 1",y,,,,,
peak_flow_1,inicio,,text,"Peak flow",,,integer,200,800,,"[momento_avaliacao] = 1",y,,,,,
aqlq_1,inicio,,text,"Pontuação AQLQ",,,number,1.0,7.0,,"[momento_avaliacao] = 1",y,,,,,
act_2,outcomes,,text,ACT,,,integer,5,25,,"[momento_avaliacao] = 2",y,,,,,
act_3,outcomes,,text,ACT,,,integer,5,25,,"[momento_avaliacao] = 3",y,,,,,
act_4,outcomes,,text,ACT,,,integer,5,25,,"[momento_avaliacao] = 4",y,,,,,
peak_flow_2,outcomes,,text,"Peak flow",,,integer,200,800,,"[momento_avaliacao] = 2",y,,,,,
peak_flow_3,outcomes,,text,"Peak flow",,,integer,200,800,,"[momento_avaliacao] = 3",y,,,,,
peak_flow_4,outcomes,,text,"Peak flow",,,integer,200,800,,"[momento_avaliacao] = 4",y,,,,,
exacerbacoes,outcomes,,text,"Número de exacerbações",,,integer,0,20,,,y,,,,,
total_exacerbacoes,outcomes,,calc,"Número total de exacerbações","if([momento_avaliacao]=1,[exacerbacoes],if([momento_avaliacao]=2,[exacerbacoes]+[previous-event-name][exacerbacoes],if([momento_avaliacao]=3,[exacerbacoes]+[previous-event-name][exacerbacoes],if([momento_avaliacao]=4,[exacerbacoes]+[previous-event-name][exacerbacoes],""""))))",,,,,,,,,,,,
taxa_adesao_med_2,outcomes,,text,"Taxa de adesão à medicação (responda de 0 a 10 o quanto se adaptou à medicação inalatória prescrita, sendo 10 muito bem adaptado)",,,integer,0,10,,"[momento_avaliacao] = 2",y,,,,,
taxa_adesao_med_3,outcomes,,text,"Taxa de adesão à medicação (responda de 0 a 10 o quanto se adaptou à medicação inalatória prescrita, sendo 10 muito bem adaptado)",,,integer,0,10,,"[momento_avaliacao] = 3",y,,,,,
taxa_adesao_med_4,outcomes,,text,"Taxa de adesão à medicação (responda de 0 a 10 o quanto se adaptou à medicação inalatória prescrita, sendo 10 muito bem adaptado)",,,integer,0,10,,"[momento_avaliacao] = 4",y,,,,,
aqlq_4,outcomes,,text,"Pontuação AQLQ",,,number,1.0,7.0,,"[momento_avaliacao] = 4",y,,,,,
idas_urgencia,outcomes,,text,"Número de idas à urgência devido a sintomas de asma",,,integer,0,20,,,y,,,,,
total_idas_urgencia,outcomes,,calc,"Total idas às urgências","if([momento_avaliacao]=1,[idas_urgencia],if([momento_avaliacao]=2,[idas_urgencia]+[previous-event-name][idas_urgencia],if([momento_avaliacao]=3,[idas_urgencia]+[previous-event-name][idas_urgencia],if([momento_avaliacao]=4,[idas_urgencia]+[previous-event-name][idas_urgencia],""""))))",,,,,,,,,,,,
uso_lembrete,app_func,,radio,"Usou lembretes?","0, Não | 1, Sim",,,,,,"[grupo_estudo] = 1",y,,,,,
consulta_plano_acao,app_func,,radio,"Consultou o plano de ação?","0, Não | 1, Sim",,,,,,"[grupo_estudo] = 1",y,,,,,
acesso_educacao,app_func,,radio,"Visualizou os conteúdos pedagógicos?","0, Não | 1, Sim",,,,,,"[grupo_estudo] = 1",y,,,,,
adesao_registo_diario,app_func,,text,"% Registos Peak Flow",,,integer,0,100,,"[grupo_estudo] = 1",,,,,,
